Date,Price
"Dec 28, 2018",45.15
"Jan 02, 2019",46.31
"Jan 03, 2019",46.92
"Jan 04, 2019",47.76
"Jan 07, 2019",48.27
"Jan 08, 2019",49.58
"Jan 09, 2019",52.19
"Jan 10, 2019",52.42
"Jan 11, 2019",51.44
"Jan 14, 2019",50.31
"Jan 15, 2019",51.8
"Jan 16, 2019",52.08
"Jan 17, 2019",51.83
"Jan 18, 2019",53.6
"Jan 22, 2019",52.59
"Jan 23, 2019",52.44
"Jan 24, 2019",52.94
"Jan 25, 2019",53.53
"Jan 28, 2019",51.79
"Jan 29, 2019",53.07
"Jan 30, 2019",54.18
"Jan 31, 2019",53.84
"Feb 01, 2019",55.29
"Feb 04, 2019",54.57
"Feb 05, 2019",53.69
"Feb 06, 2019",53.94
"Feb 07, 2019",52.68
"Feb 08, 2019",52.75
"Feb 11, 2019",52.43
"Feb 12, 2019",53.14
"Feb 13, 2019",53.84
"Feb 14, 2019",54.4
"Feb 15, 2019",55.58
"Feb 19, 2019",56.12
"Feb 20, 2019",56.9
"Feb 21, 2019",56.95
"Feb 22, 2019",57.01
"Feb 25, 2019",55.32
"Feb 26, 2019",55.4
"Feb 27, 2019",56.92
"Feb 28, 2019",57.21
"Mar 01, 2019",55.76
"Mar 04, 2019",56.6
"Mar 05, 2019",56.55
"Mar 06, 2019",56.22
"Mar 07, 2019",56.6
"Mar 08, 2019",55.77
"Mar 11, 2019",56.79
"Mar 12, 2019",56.89
"Mar 13, 2019",58.27
"Mar 14, 2019",58.59
"Mar 15, 2019",58.51
"Mar 18, 2019",59.09
"Mar 19, 2019",59.12
"Mar 20, 2019",60.12
"Mar 21, 2019",59.98
"Mar 22, 2019",58.87
"Mar 25, 2019",58.71
"Mar 26, 2019",59.87
"Mar 27, 2019",59.39
"Mar 28, 2019",59.29
"Mar 29, 2019",60.19
"Apr 01, 2019",61.59
"Apr 02, 2019",62.53
"Apr 03, 2019",62.46
"Apr 04, 2019",62.12
"Apr 05, 2019",63.1
"Apr 08, 2019",64.37
"Apr 09, 2019",64.05
"Apr 10, 2019",64.62
"Apr 11, 2019",63.61
"Apr 12, 2019",63.86
"Apr 15, 2019",63.43
"Apr 16, 2019",64.01
"Apr 17, 2019",63.74
"Apr 18, 2019",64.02
"Apr 22, 2019",65.66
"Apr 23, 2019",66.24
"Apr 24, 2019",65.96
"Apr 25, 2019",65.23
"Apr 26, 2019",63.29
"Apr 29, 2019",63.39
"Apr 30, 2019",63.83
"May 01, 2019",63.55
"May 02, 2019",61.75
"May 03, 2019",61.98
"May 06, 2019",62.3
"May 07, 2019",61.41
"May 08, 2019",62.13
"May 09, 2019",61.58
"May 10, 2019",61.65
"May 13, 2019",60.97
"May 14, 2019",61.82
"May 15, 2019",62.03
"May 16, 2019",62.93
"May 17, 2019",62.77
"May 20, 2019",63.12
"May 21, 2019",63.02
"May 22, 2019",61.42
"May 23, 2019",57.65
"May 24, 2019",58.4
"May 28, 2019",58.91
"May 29, 2019",58.84
"May 30, 2019",56.47
"May 31, 2019",53.49
"Jun 03, 2019",53.25
"Jun 04, 2019",53.5
"Jun 05, 2019",51.57
"Jun 06, 2019",52.59
"Jun 07, 2019",53.95
"Jun 10, 2019",53.33
"Jun 11, 2019",53.3
"Jun 12, 2019",51.13
"Jun 13, 2019",52.38
"Jun 14, 2019",52.47
"Jun 17, 2019",51.94
"Jun 18, 2019",53.86
"Jun 19, 2019",53.74
"Jun 20, 2019",56.88
"Jun 21, 2019",57.35
"Jun 24, 2019",57.73
"Jun 25, 2019",57.63
"Jun 26, 2019",59.17
"Jun 27, 2019",59.18
"Jun 28, 2019",58.2
"Jul 01, 2019",58.91
"Jul 02, 2019",56
"Jul 03, 2019",57.06
"Jul 08, 2019",57.35
"Jul 09, 2019",57.57
"Jul 10, 2019",60.28
"Jul 11, 2019",59.93
"Jul 12, 2019",59.99
"Jul 15, 2019",59.3
"Jul 16, 2019",57.44
"Jul 17, 2019",56.5
"Jul 18, 2019",55.08
"Jul 19, 2019",55.42
"Jul 22, 2019",55.87
"Jul 23, 2019",56.58
"Jul 24, 2019",55.9
"Jul 25, 2019",55.88
"Jul 26, 2019",56.04
"Jul 29, 2019",56.85
"Jul 30, 2019",58.04
"Jul 31, 2019",58.53
"Aug 01, 2019",53.64
"Aug 02, 2019",55.67
"Aug 05, 2019",54.63
"Aug 06, 2019",53.6
"Aug 07, 2019",51.14
"Aug 08, 2019",52.6
"Aug 09, 2019",54.41
"Aug 12, 2019",54.98
"Aug 13, 2019",57.05
"Aug 14, 2019",55.16
"Aug 15, 2019",54.51
"Aug 16, 2019",54.83
"Aug 19, 2019",56.24
"Aug 20, 2019",56.18
"Aug 21, 2019",55.65
"Aug 22, 2019",55.33
"Aug 23, 2019",54.08
"Aug 26, 2019",53.54
"Aug 27, 2019",54.99
"Aug 28, 2019",55.76
"Aug 29, 2019",56.67
"Aug 30, 2019",55.07
"Sep 03, 2019",53.91
"Sep 04, 2019",56.22
"Sep 05, 2019",56.33
"Sep 06, 2019",56.45
"Sep 09, 2019",57.88
"Sep 10, 2019",57.37
"Sep 11, 2019",55.66
"Sep 12, 2019",55.13
"Sep 13, 2019",54.76
"Sep 16, 2019",63.1
"Sep 17, 2019",59.26
"Sep 18, 2019",58.19
"Sep 19, 2019",58.19
"Sep 20, 2019",57.92
"Sep 23, 2019",58.69
"Sep 24, 2019",57.22
"Sep 25, 2019",56.38
"Sep 26, 2019",56.24
"Sep 27, 2019",55.95
"Sep 30, 2019",54.09
"Oct 01, 2019",53.6
"Oct 02, 2019",52.67
"Oct 03, 2019",52.41
"Oct 04, 2019",52.84
"Oct 07, 2019",52.76
"Oct 08, 2019",52.64
"Oct 09, 2019",52.63
"Oct 10, 2019",53.57
"Oct 11, 2019",54.76
"Oct 14, 2019",53.57
"Oct 15, 2019",52.81
"Oct 16, 2019",53.42
"Oct 17, 2019",53.89
"Oct 18, 2019",53.75
"Oct 21, 2019",53.28
"Oct 22, 2019",54.21
"Oct 23, 2019",55.9
"Oct 24, 2019",56.11
"Oct 25, 2019",56.52
"Oct 28, 2019",55.6
"Oct 29, 2019",55.34
"Oct 30, 2019",54.85
"Oct 31, 2019",54.02
"Nov 01, 2019",56.04
"Nov 04, 2019",56.33
"Nov 05, 2019",57.04
"Nov 06, 2019",56.15
"Nov 07, 2019",56.91
"Nov 08, 2019",57.02
"Nov 12, 2019",56.67
"Nov 13, 2019",56.88
"Nov 14, 2019",56.57
"Nov 15, 2019",57.54
"Nov 18, 2019",56.82
"Nov 19, 2019",54.93
"Nov 20, 2019",56.71
"Nov 21, 2019",58.36
"Nov 22, 2019",57.68
"Nov 25, 2019",57.79
"Nov 26, 2019",58.25
"Nov 27, 2019",58.12
"Nov 29, 2019",58.12
"Dec 02, 2019",55.97
"Dec 03, 2019",56.15
"Dec 04, 2019",58.46
"Dec 05, 2019",58.42
"Dec 06, 2019",59.2
"Dec 09, 2019",58.99
"Dec 10, 2019",59.22
"Dec 11, 2019",58.74
"Dec 12, 2019",59.18
"Dec 13, 2019",60.11
"Dec 16, 2019",60.21
"Dec 17, 2019",60.88
"Dec 18, 2019",60.93
"Dec 19, 2019",61.3
"Dec 20, 2019",60.43
"Dec 23, 2019",60.51
"Dec 24, 2019",61.17
"Dec 26, 2019",61.72
"Dec 27, 2019",61.76
"Dec 30, 2019",61.66
"Dec 31, 2019",61.14
"Jan 02, 2020",61.17
"Jan 03, 2020",63
"Jan 06, 2020",63.27
"Jan 07, 2020",62.7
"Jan 08, 2020",59.65
"Jan 09, 2020",59.56
"Jan 10, 2020",59.02
"Jan 13, 2020",58.17
"Jan 14, 2020",58.34
"Jan 15, 2020",57.86
"Jan 16, 2020",58.52
"Jan 17, 2020",58.55
"Jan 21, 2020",58.25
"Jan 22, 2020",56.76
"Jan 23, 2020",55.51
"Jan 24, 2020",54.09
"Jan 27, 2020",53.09
"Jan 28, 2020",53.33
"Jan 29, 2020",53.29
"Jan 30, 2020",52.19
"Jan 31, 2020",51.58
"Feb 03, 2020",50.06
"Feb 04, 2020",49.59
"Feb 05, 2020",50.87
"Feb 06, 2020",50.94
"Feb 07, 2020",50.34
"Feb 10, 2020",49.59
"Feb 11, 2020",50
"Feb 12, 2020",51.13
"Feb 13, 2020",51.41
"Feb 14, 2020",52.03
"Feb 18, 2020",52.1
"Feb 19, 2020",53.31
"Feb 20, 2020",53.77
"Feb 21, 2020",53.36
"Feb 24, 2020",51.36
"Feb 25, 2020",49.78
"Feb 26, 2020",48.67
"Feb 27, 2020",47.17
"Feb 28, 2020",44.83
"Mar 02, 2020",46.78
"Mar 03, 2020",47.27
"Mar 04, 2020",46.78
"Mar 05, 2020",45.9
"Mar 06, 2020",41.14
"Mar 09, 2020",31.05
"Mar 10, 2020",34.47
"Mar 11, 2020",33.13
"Mar 12, 2020",31.56
"Mar 13, 2020",31.72
"Mar 16, 2020",28.96
"Mar 17, 2020",26.96
"Mar 18, 2020",20.48
"Mar 19, 2020",25.09
"Mar 20, 2020",19.48
"Mar 23, 2020",23.33
"Mar 24, 2020",21.03
"Mar 25, 2020",20.75
"Mar 26, 2020",16.6
"Mar 27, 2020",15.48
"Mar 30, 2020",14.1
"Mar 31, 2020",20.51
"Apr 01, 2020",20.28
"Apr 02, 2020",25.18
"Apr 03, 2020",28.36
"Apr 06, 2020",26.21
"Apr 07, 2020",23.54
"Apr 08, 2020",24.97
"Apr 09, 2020",22.9
"Apr 13, 2020",22.36
"Apr 14, 2020",20.15
"Apr 15, 2020",19.96
"Apr 16, 2020",19.82
"Apr 17, 2020",18.31
"Apr 20, 2020",-36.98
"Apr 21, 2020",8.91
"Apr 22, 2020",13.64
"Apr 23, 2020",15.06
"Apr 24, 2020",15.99
"Apr 27, 2020",12.17
"Apr 28, 2020",12.4
"Apr 29, 2020",15.04
"Apr 30, 2020",19.23
"May 01, 2020",19.72
"May 04, 2020",20.47
"May 05, 2020",24.56
"May 06, 2020",23.88
"May 07, 2020",23.68
"May 08, 2020",24.73
"May 11, 2020",24.02
"May 12, 2020",25.76
"May 13, 2020",25.37
"May 14, 2020",27.4
"May 15, 2020",29.44
"May 18, 2020",31.83
"May 19, 2020",32.3
"May 20, 2020",33.56
"May 21, 2020",34.3
"May 22, 2020",33.49
"May 26, 2020",34.7
"May 27, 2020",32.8
"May 28, 2020",33.67
"May 29, 2020",35.57
"Jun 01, 2020",35.49
"Jun 02, 2020",36.88
"Jun 03, 2020",37.33
"Jun 04, 2020",37.42
"Jun 05, 2020",39.49
"Jun 08, 2020",38.17
"Jun 09, 2020",38.98
"Jun 10, 2020",39.54
"Jun 11, 2020",36.43
"Jun 12, 2020",36.24
"Jun 15, 2020",37.07
"Jun 16, 2020",38.26
"Jun 17, 2020",37.91
"Jun 18, 2020",38.79
"Jun 19, 2020",39.72
"Jun 22, 2020",40.6
"Jun 23, 2020",40.4
"Jun 24, 2020",37.91
"Jun 25, 2020",38.66
"Jun 26, 2020",38.53
"Jun 29, 2020",39.67
"Jun 30, 2020",39.27
"Jul 01, 2020",39.88
"Jul 02, 2020",40.57
"Jul 06, 2020",40.51
"Jul 07, 2020",40.59
"Jul 08, 2020",40.91
"Jul 09, 2020",39.64
"Jul 10, 2020",40.56
"Jul 13, 2020",40.06
"Jul 14, 2020",40.3
"Jul 15, 2020",41.2
"Jul 16, 2020",40.74
"Jul 17, 2020",40.55
"Jul 20, 2020",40.83
"Jul 21, 2020",41.76
"Jul 22, 2020",41.88
"Jul 23, 2020",40.99
"Jul 24, 2020",41.23
"Jul 27, 2020",41.46
"Jul 28, 2020",40.89
"Jul 29, 2020",41.13
"Jul 30, 2020",39.85
"Jul 31, 2020",40.1
"Aug 03, 2020",40.83
"Aug 04, 2020",41.67
"Aug 05, 2020",42.25
"Aug 06, 2020",41.93
"Aug 07, 2020",41.16
"Aug 10, 2020",41.94
"Aug 11, 2020",41.53
"Aug 12, 2020",42.6
"Aug 13, 2020",42.26
"Aug 14, 2020",42.05
"Aug 17, 2020",42.89
"Aug 18, 2020",42.89
"Aug 19, 2020",42.91
"Aug 20, 2020",42.62
"Aug 21, 2020",42.32
"Aug 24, 2020",42.44
"Aug 25, 2020",43.17
"Aug 26, 2020",43.21
"Aug 27, 2020",42.88
"Aug 28, 2020",42.96
"Aug 31, 2020",42.61
"Sep 01, 2020",42.76
"Sep 02, 2020",42.76
"Sep 03, 2020",41.39
"Sep 04, 2020",39.69
"Sep 08, 2020",36.87
"Sep 09, 2020",38.05
"Sep 10, 2020",37.25
"Sep 11, 2020",37.33
"Sep 14, 2020",37.23
"Sep 15, 2020",38.29
"Sep 16, 2020",40.17
"Sep 17, 2020",40.99
"Sep 18, 2020",41.09
"Sep 21, 2020",39.26
"Sep 22, 2020",39.55
"Sep 23, 2020",39.92
"Sep 24, 2020",40.11
"Sep 25, 2020",40.06
"Sep 28, 2020",40.47
"Sep 29, 2020",39.03
"Sep 30, 2020",40.05
"Oct 01, 2020",38.51
"Oct 02, 2020",36.9
"Oct 05, 2020",39.12
"Oct 06, 2020",40.52
"Oct 07, 2020",39.82
"Oct 08, 2020",41.04
"Oct 09, 2020",40.44
"Oct 12, 2020",39.22
"Oct 13, 2020",40.03
"Oct 14, 2020",40.86
"Oct 15, 2020",40.84
"Oct 16, 2020",40.7
"Oct 19, 2020",40.69
"Oct 20, 2020",41.37
"Oct 21, 2020",39.88
"Oct 22, 2020",40.46
"Oct 23, 2020",39.73
"Oct 26, 2020",38.39
"Oct 27, 2020",39.34
"Oct 28, 2020",37.27
"Oct 29, 2020",35.94
"Oct 30, 2020",35.64
"Nov 02, 2020",36.6
"Nov 03, 2020",37.44
"Nov 04, 2020",38.97
"Nov 05, 2020",38.56
"Nov 06, 2020",36.97
"Nov 09, 2020",40.05
"Nov 10, 2020",41.18
"Nov 11, 2020",41.23
"Nov 12, 2020",40.9
"Nov 13, 2020",39.93
"Nov 16, 2020",41.14
"Nov 17, 2020",41.24
"Nov 18, 2020",41.64
"Nov 19, 2020",41.57
"Nov 20, 2020",41.99
"Nov 23, 2020",42.91
"Nov 24, 2020",44.71
"Nov 25, 2020",45.58
"Nov 30, 2020",45.2
"Dec 01, 2020",44.54
"Dec 02, 2020",45.23
"Dec 03, 2020",45.65
"Dec 04, 2020",46.23
"Dec 07, 2020",45.72
"Dec 08, 2020",45.64
"Dec 09, 2020",45.48
"Dec 10, 2020",46.76
"Dec 11, 2020",46.59
"Dec 14, 2020",47.02
"Dec 15, 2020",47.58
"Dec 16, 2020",47.86
"Dec 17, 2020",48.34
"Dec 18, 2020",49.04
"Dec 21, 2020",47.79
"Dec 22, 2020",47.02
"Dec 23, 2020",47.94
"Dec 24, 2020",48.18
"Dec 28, 2020",47.5
"Dec 29, 2020",47.85
"Dec 30, 2020",48.24
"Dec 31, 2020",48.35
"Jan 04, 2021",47.47
"Jan 05, 2021",49.78
"Jan 06, 2021",50.45
"Jan 07, 2021",50.63
"Jan 08, 2021",52.14
"Jan 11, 2021",52.15
"Jan 12, 2021",53.08
"Jan 13, 2021",52.81
"Jan 14, 2021",53.47
"Jan 15, 2021",52.25
"Jan 19, 2021",52.87
"Jan 20, 2021",53.16
"Jan 21, 2021",53
"Jan 22, 2021",52.28
"Jan 25, 2021",52.78
"Jan 26, 2021",52.61
"Jan 27, 2021",52.81
"Jan 28, 2021",52.26
"Jan 29, 2021",52.16
"Feb 01, 2021",53.55
"Feb 02, 2021",54.77
"Feb 03, 2021",55.67
"Feb 04, 2021",56.19
"Feb 05, 2021",56.8
"Feb 08, 2021",57.95
"Feb 09, 2021",58.34
"Feb 10, 2021",58.69
"Feb 11, 2021",58.22
"Feb 12, 2021",59.5
"Feb 16, 2021",60.07
